empty,SPAC4H3.17,SPCC290.04,empty,SPBC119.07,SPAC57A7.15c,SPAC16E8.09,SPAC688.16,SPAC1705.03c,SPAC6B12.19,SPAC56F8.08,SPAC6F6.19,SPBC16C6.14,SPAC922.09,SPCC663.18,SPBC1604.25,SPAC12G12.17,SPBC17D1.17,SPAC1002.15c,SPBC18E5.09c,SPCC1183.12,SPBC26H8.16,SPBC32C12.02,SPBC2A9.14
,,,,,,,,,,,,,,,,,,,,,,,
SPBC12C2.13c,SPBC2F12.17,SPAPB1E7.14,SPBC30D10.21,SPAC4D7.08c,SPBC32H8.15,bioneer_wt,SPBC3H7.18,SPCC1442.08c,SPBC460.01c,SPAC30D11.04c,bioneer_wt,SPCC736.15,SPBC460.02c,SPAC6F12.10c,SPBC460.05,SPBC19C7.03,SPBC839.20,SPCC970.06,SPCC1235.18,SPAC19G12.11,SPBC8D2.23,SPCC18.11c,SPBC8E4.12c
,,,,,,,,,,,,,,,,,,,,,,,
SPAC10F6.01c,SPCC1235.16,SPAC7D4.07c,SPCC18.20,SPCC1906.03,SPCC330.21,SPCC736.05,SPCC4B3.20,SPBC16D10.06,SPBC1105.15c,wt,SPCC1235.14,SPAC1039.11c,SPBC27.03,SPAC1B3.20,SPBC3H7.15,SPAC1F12.07,wt,SPAC3H1.02c,SPAC24B11.09,SPAC5H10.03,SPAC17A5.19,SPCC417.10,SPAC1B2.06
,,,,,,,,,,,,,,,,,,,,,,,
SPCC794.04c,bioneer_wt,SPCC4B3.16,SPCC569.09,SPAC977.01,SPAC25G10.04c,SPAC977.07c,SPBC28F2.07,SPBC1E8.05,SPAC977.03,SPAC15A10.17,SPCC794.16,SPAC1486.11,SPBC1683.05,SPAC19G12.17,SPBC36.02c,SPAC4D7.14,SPBC3H7.02,SPAC19A8.16,SPBC839.16,bioneer_wt,SPCC1672.11c,SPAC3F10.19,wt
,,,,,,,,,,,,,,,,,,,,,,,
SPBC1105.19,SPCC1682.06,wt,SPCC16C4.16c,SPBC56F2.15,SPAC3H5.13,SPBC21B10.14,SPAPB15E9.06,SPAC1071.13,bioneer_wt,SPAC1093.07,SPBC32F12.17,bioneer_wt,SPCC417.16,SPAC110.05,SPAC11D3.11c,SPAC11D3.19,SPAC16E8.18c,SPAC1399.06,SPAC1834.13,SPAC25B8.20,SPAC1952.04c,SPAC343.21,SPAC1B3.21
,,,,,,,,,,,,,,,,,,,,,,,
SPAC4H3.16,SPAC20G4.09,SPAC9G1.14,SPAC23A1.20,wt,SPAC23H4.21,SPACUNK4.20,SPAC6B12.18,SPAPJ695.02,SPAC926.10,SPBC1685.17,SPBC24C6.13,SPBC16E9.20,SPBC460.04c,SPBC19G7.19,SPBC887.22,SPBC21B10.15,SPCC1672.14,SPBC30B4.09,wildtype,SPBC336.16,wt,bioneer_wt,SPBC25H2.18
,,,,,,,,,,,,,,,,,,,,,,,
SPBC36.13,SPBC460.03,SPBC651.07,SPBC839.19,SPBC713.13,bioneer_wt,SPBP23A10.17,SPAC23C4.04c,SPBP35G2.17,SPAC27E2.12,SPBP8B7.32,SPAPB1A10.16,SPBPB21E7.10,SPCC1393.14,SPBPB21E7.11,SPAC2F7.16c,SPCC1235.17,SPAC23A1.17,bioneer_wt,SPBC16G5.19,SPCC1259.16,SPBC17G9.06c,SPCC188.14,SPBC685.08
,,,,,,,,,,,,,,,,,,,,,,,
SPCPB16A4.07,wt,SPAC1F7.14c,SPBC6B1.12c,SPAC222.17,SPBC800.14c,SPAC222.18,SPBP23A10.11c,wt,SPBPB8B6.06c,SPAC22F3.15,SPBC211.07c,SPAC25H1.10c,SPCC16A11.12c,SPAC27E2.14,SPCC1183.05c,SPAC29A4.22,SPAC18B11.10,SPAC2H10.04,SPAC1F3.02c,SPAC4F10.22,bioneer_wt,bioneer_wt,SPAPB18E9.02c
,,,,,,,,,,,,,,,,,,,,,,,
